track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timesig,popularity,duration_ms,year_released
3cTBzCdxKbuczWo9cfPic1,0.586,0.85,10,-5.401,1,0.0475,0.252,0.703,0.105,0.435,130.282,4,32,451440,1986
3Y0LpU5kqQ3vSZvwcGjl1M,0.583,0.376,6,-10.914,1,0.0433,0.725,0.251,0.0642,0.614,120.713,4,50,217373,1958
6NGsHLZYGVAkXTFr75WWnn,0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,4,58,218266,1979
1OjmEyEycmzJK3itBAq8EG,0.566,0.374,5,-11.194,0,0.0507,0.596,0.0102,0.172,0.326,115.735,4,36,787933,1957
0GAVJcVNjYUlQnZ6NWhAxL,0.433,0.413,3,-18.97,1,0.0415,0.357,1.93e-05,0.0645,0.288,138.736,4,22,340840,1964
3nUCDAcUrRYHaBLHTZeQsb,0.795,0.465,5,-13.903,1,0.0507,0.893,0.909,0.155,0.936,98.894,4,21,180066,1986
0n9toZOivQbcwGuwNsPywM,0.501,0.643,1,-8.786,1,0.0473,0.787,0.0251,0.121,0.757,127.768,4,31,353826,1957
1tXiZvtgg9XqlB86x4Ukqj,0.599,0.321,0,-17.247,1,0.0539,0.639,0.000137,0.229,0.685,104.033,4,23,231106,1955
57ZSKA1UVoKIXy8VSHKPpt,0.242,0.0958,0,-19.121,1,0.0303,0.941,0.55,0.083,0.0735,77.398,4,25,281160,1954
4N6JkrGD78eLooaTDmwo9s,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,4,47,395560,1961
66iKqUazBbTlAEjcZrpDkD,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,4,63,151866,1959
0Xc9sbSJP4fcaWgtvJoo8Z,0.339,0.19,8,-13.291,1,0.0387,0.972,0.000132,0.107,0.337,123.33,4,0,197533,1993
6BtRxQRMHXc8RSUXRTFgNn,0.553,0.638,10,-8.383,1,0.031,0.658,0.839,0.141,0.443,96.092,4,33,291733,1981
1fbTAHZGgmlnXWcNXyB42G,0.532,0.129,7,-10.626,0,0.0364,0.865,0.0,0.171,0.397,98.556,4,26,183960,1956
5ByxDTuCTKA07FhevL1ISz,0.248,0.296,7,-18.405,1,0.0355,0.893,0.796,0.132,0.462,80.076,4,23,195400,1997
5EK0gbkVLrLtOvwXy7PWEW,0.594,0.965,9,-3.143,0,0.0952,0.00325,0.0,0.294,0.567,102.593,4,30,189466,1999
3RmIwirZYgqS18gkrbzGnW,0.673,0.585,8,-10.361,0,0.0351,0.0203,0.0109,0.0558,0.594,93.06,4,33,387040,1992
3fbvU3HoMviq8NaxeL6lA2,0.414,0.553,10,-11.002,1,0.0452,0.64,0.633,0.103,0.904,188.699,4,15,315600,1954
1asMySp5YzU9qeJ0FJgD0p,0.52,0.709,5,-8.429,0,0.0453,0.64,1.68e-05,0.281,0.695,137.202,4,28,255373,1963
190Tz6CYjyOAq5ypbV8CFi,0.61,0.647,0,-15.759,1,0.0378,0.175,0.926,0.0421,0.889,108.528,4,41,312373,1981
2tVoDf1EOvE7VInpND2iWq,0.658,0.563,0,-10.327,1,0.0336,0.0356,0.205,0.0836,0.596,95.996,4,44,314080,1998
4tG3H42ve6C42BA29eTrVY,0.418,0.29,5,-13.752,1,0.0456,0.967,0.468,0.44,0.686,174.167,4,7,200013,1982
0aVwclUm2FsksllwpJRlaX,0.313,0.626,0,-15.933,1,0.0635,0.0183,0.334,0.112,0.451,150.736,5,38,383160,1976
6piC8NdaOgfjcQ9jM1Od3S,0.15,0.59,7,-15.226,0,0.0538,0.0032,0.589,0.145,0.258,156.591,4,28,401866,1974
3oV49QXWetJyyp5dKno5wt,0.803,0.444,6,-13.005,1,0.0624,0.117,0.751,0.183,0.761,100.14,4,23,330760,1995
1plVFdbU55lutOgsvH9Wir,0.454,0.62,4,-10.209,1,0.0626,0.923,4.55e-05,0.653,0.882,203.591,4,17,199550,1994
08KiBWh7EreFKWKSv8SIrh,0.32,0.25,5,-10.015,1,0.037,0.906,0.0,0.115,0.582,195.907,3,36,164511,1965
3PJMsxg6rz9FOo6xNiASXz,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,3,58,342373,1959
6e9v6F1IRegsDmB3MIQzxJ,0.556,0.497,10,-11.245,0,0.481,0.67,0.000997,0.135,0.538,129.272,4,0,184370,1983
7G7aecTWvlnJoLUJi7tn7f,0.427,0.15,5,-16.863,1,0.0321,0.94,0.00784,0.101,0.441,84.63,4,45,187266,1955
59zZ0qR1n8rbNwMIy3G922,0.521,0.362,6,-15.613,1,0.0393,0.527,0.808,0.109,0.701,117.242,4,25,296666,1995
4I4jQb4fkv51CLeTYMXGKT,0.486,0.56,7,-7.181,0,0.076,0.155,5.82e-05,0.0473,0.578,163.735,4,34,206960,1996
6yDiiNxjRpAglPGQhh1hkk,0.637,0.257,10,-17.527,0,0.0549,0.881,0.706,0.975,0.304,126.544,4,43,358693,1955
7bdJdZNUa15haUvqHAmXh9,0.382,0.198,0,-13.021,0,0.0276,0.803,1.32e-06,0.112,0.202,82.108,3,18,299760,1996
7j4F1L8YrTCpgoI2BGhu0s,0.482,0.633,11,-9.717,0,0.0359,0.388,0.0335,0.0757,0.483,94.238,4,18,260313,1974
5l0TSFftfKMk7FF84EO7FO,0.45,0.0533,3,-19.282,1,0.0357,0.973,0.829,0.181,0.098,104.326,4,40,295253,1959
5LIX6hINwH2H0FqsMw0kG4,0.473,0.693,0,-12.882,0,0.556,0.84,0.00214,0.691,0.695,87.206,4,8,257093,1997
6q3GRfSVNWagJrJwue7W19,0.521,0.37,3,-12.426,1,0.0784,0.913,0.691,0.271,0.79,136.873,4,19,154120,1998
7xy0PAZxzGDOcYzyptvprd,0.706,0.167,0,-13.137,1,0.0602,0.896,0.0,0.101,0.724,139.763,3,46,151866,1962
7hHqqxNnpW4mvD1H8HhPkF,0.672,0.424,1,-11.651,1,0.156,0.845,0.0,0.98,0.714,147.337,4,1,169598,1988
4lyupu0V7V9CoKhH52sfS8,0.553,0.0902,2,-21.491,1,0.043,0.984,0.91,0.1,0.289,89.369,4,50,273760,1951
5q6LixvVOrfFpxM2Zsx5EK,0.626,0.546,9,-13.348,1,0.0292,0.0537,0.849,0.0869,0.656,101.311,4,24,323533,1978
6n9IKJHGnZ3e3Kc5BrFX7r,0.632,0.647,7,-8.096,0,0.0553,0.278,0.165,0.122,0.835,118.934,4,33,206426,1966
6WdVfVok5BXDZVoiOIEEu6,0.465,0.244,6,-16.997,1,0.391,0.808,0.0125,0.166,0.459,99.349,4,5,476000,1957
6ZgaUtMlUzUf7SqbUUnfbu,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,4,56,644013,1958
1z1m5WqzxzjRy4VGJMK2ft,0.6,0.791,7,-6.484,0,0.0622,0.0246,0.0996,0.0796,0.317,137.588,4,49,214106,1996
3YHzAqT2wt90nVsBLHZ2UH,0.66,0.279,7,-15.207,1,0.0387,0.607,0.0,0.0679,0.661,123.002,4,31,184626,1970
07irBFyorjNSJSI7JgyNvK,0.326,0.756,4,-10.034,0,0.109,0.0365,0.0369,0.503,0.502,172.446,4,10,560760,1975
59iw15si7xZtr1yxdXAGGJ,0.402,0.144,5,-23.288,0,0.0545,0.332,0.0672,0.277,0.164,85.48,4,25,492760,1959
69k61OD5QalC2EcDgzjA8f,0.546,0.428,10,-11.224,0,0.0402,0.623,0.000856,0.31,0.558,119.845,4,37,358440,1963
4pa23KNAU2ul1REZDMJsAz,0.576,0.558,4,-15.152,1,0.0368,0.619,0.899,0.334,0.613,79.024,4,50,308906,1992
2DPCgPColTNPvExsxrEJbX,0.415,0.124,7,-15.458,0,0.0396,0.943,0.801,0.0848,0.266,116.337,4,35,286533,1957
